ENSEMBL,SYMBOL,DMSO,ITRA,FDR,AveExpr,P value,SRR7108396,SRR7108397,SRR7108398,SRR7108399,SRR7108400,SRR7108401,SRR7108402,SRR7108403,SRR7108396 CPM,SRR7108397 CPM,SRR7108398 CPM,SRR7108399 CPM,SRR7108400 CPM,SRR7108401 CPM,SRR7108402 CPM,SRR7108403 CPM
ENSG00000160318,CLDND2,0,2.70032061496608,7.52718630065868e-7,-0.452349426135372,8.25897270679526e-8,1,3,3,1,8,11,12,11,0.082,0.291,0.269,0.078,0.668,1.084,1.149,0.988
ENSG00000258469,NA,0,4.61922313231099,7.53133737121426e-7,-0.911423943765986,8.26611778820737e-8,0,1.128263,0,0,5.6544,6.99551,13.825915,4.450815,0.000,0.109,0.000,0.000,0.472,0.690,1.324,0.400
ENSG00000142623,PADI1,0,2.54426828064035,7.54026898149593e-7,-0.209954902036201,8.27721755359494e-8,2,5,1,3,8,11,13.000001,19,0.163,0.485,0.090,0.235,0.668,1.084,1.245,1.707
ENSG00000215784,FAM72D,0,1.19798957281197,7.69819147812172e-7,3.42846163309495,8.45587028922617e-8,64.281756,103.225601,67.444302,100.727036,206.706513,128.552541,85.537396,182.726318,5.252,10.016,6.047,7.904,17.267,12.672,8.191,16.419
ENSG00000240204,SMKR1,0,-1.46903493300351,7.73676472168329e-7,1.59857292118671,8.50090113107031e-8,58,43,44,62,20,8,15,14,4.739,4.172,3.945,4.865,1.671,0.789,1.436,1.258
ENSG00000142920,AZIN2,0,1.93186370535353,7.76893977329728e-7,0.744885279240594,8.54293444381702e-8,12,6,6,9.999999,30.000001,16.000001,18.000001,37.000001,0.981,0.582,0.538,0.785,2.506,1.577,1.724,3.325
ENSG00000179029,TMEM107,0,-1.50441772510198,7.78190330587875e-7,2.16502069474192,8.55852780729781e-8,109.658519,64.725048,71.123565,70.181091,25.687694,26.079327,10.009259,23.0472,8.960,6.280,6.377,5.507,2.146,2.571,0.958,2.071
ENSG00000234390,USP27X-DT,0,-5.8360686919923,7.83124244114521e-7,-0.929845481184086,8.61548452989938e-8,7,6,6,13,0,0,0,0,0.572,0.582,0.538,1.020,0.000,0.000,0.000,0.000
ENSG00000274847,NA,0,1.6971834172377,8.06418909448188e-7,1.96902488752516,8.87869341202006e-8,14.92916,19.931134,37.276685,21.907405,81.859593,38.306689,45.056198,74.283678,1.220,1.934,3.342,1.719,6.838,3.776,4.314,6.675
ENSG00000072422,RHOBTB1,0,-1.12752697165713,8.39664309202446e-7,2.56400236874486,9.25339036127277e-8,110,95,85,104,47,41.000001,25,25,8.988,9.218,7.621,8.161,3.926,4.042,2.394,2.246
ENSG00000257956,NA,0,-1.46374945260004,8.40147341455042e-7,1.33849890492289,9.26160327914909e-8,41.677163,35.915311,45.502183,46.93459,15.114689,8.434989,9.248472,14.230204,3.405,3.485,4.080,3.683,1.263,0.831,0.886,1.279
ENSG00000257207,NA,0,-6.04687730343036,8.42065347165583e-7,0.132212645007637,9.28419512731277e-8,0,21.70713,32.509726,29.876734,0,0,0,0.559465,0.000,2.106,2.915,2.344,0.000,0.000,0.000,0.050
ENSG00000197429,IPP,0,-1.46828026634784,8.45464523429121e-7,2.87058929529424,9.32312677219379e-8,149.734215,108.596732,99.978802,165.465385,66.969913,18.725936,19.73322,42.386427,12.235,10.537,8.964,12.983,5.594,1.846,1.890,3.809
ENSG00000279806,NA,0,-1.74731723472282,8.48129602318521e-7,1.25659599356666,9.35397378999549e-8,45.210691,30.284117,52.048419,39.044847,14.718103,9,5,9.176544,3.694,2.939,4.667,3.064,1.229,0.887,0.479,0.825
ENSG00000241834,RN7SL149P,0,3.69191910976963,8.65787036265658e-7,-0.892702350255314,9.55616145072487e-8,1.536337,1,0,0,7.323281,4,9.943547,8.952525,0.126,0.097,0.000,0.000,0.612,0.394,0.952,0.804
ENSG00000132801,ZSWIM3,0,-1.16237952401975,8.7159537039761e-7,2.20114062324447,9.62776594504248e-8,71,67,81,86,33,24,28,19,5.801,6.501,7.263,6.748,2.757,2.366,2.681,1.707
ENSG00000227582,ADGRF5P1,0,-4.29715904239841,8.7159537039761e-7,-0.775303024529409,9.6267617851787e-8,12.918519,5.798568,8.920091,8.7977,0,1,0,0,1.056,0.563,0.800,0.690,0.000,0.099,0.000,0.000
ENSG00000257512,NA,0,-1.73729557383583,8.76447683390802e-7,0.847148101440175,9.68588717125439e-8,30.498335,25.836493,33.35607,32.017526,10.167151,7.257962,3.123714,7.17374,2.492,2.507,2.991,2.512,0.849,0.715,0.299,0.645
ENSG00000205959,NA,0,4.21030088066829,8.78363754203373e-7,-1.20448324686111,9.70857283826351e-8,0,0,1.036405,0,7.026176,4.004022,4.205195,7.073632,0.000,0.000,0.093,0.000,0.587,0.395,0.403,0.636
ENSG00000250127,LINC02108,0,-2.60134036682313,8.91088560456067e-7,-0.124465279577046,9.85535028856686e-8,21.095526,8.354373,13.600656,17.806765,2.153638,1.996627,2.561223,0.551668,1.724,0.811,1.219,1.397,0.180,0.197,0.245,0.050
ENSG00000267309,ZNF566-AS1,0,-1.67292158489257,8.98057370909015e-7,1.11331153527299,9.93551355539872e-8,39.258942,31.851921,37.46038,39.474552,6.76203,12.765006,9.060448,6.36257,3.208,3.091,3.359,3.097,0.565,1.258,0.868,0.572
ENSG00000264070,NA,0,-3.26904149704844,9.28637358789818e-7,-0.398982208728822,1.02866067517932e-7,7.033188,10.972932,12.983863,18.877116,1.206004,0,2.35727,0,0.575,1.065,1.164,1.481,0.101,0.000,0.226,0.000
ENSG00000196154,S100A4,0,1.53527059724386,9.36600275429444e-7,3.31787003906708,1.03812557400085e-7,55.999999,54,109,48,128,160,195,101,4.576,5.240,9.773,3.766,10.692,15.772,18.673,9.075
