ENSEMBL,SYMBOL,DMSO,ITRA,FDR,AveExpr,P value,SRR7108388,SRR7108389,SRR7108390,SRR7108391,SRR7108392,SRR7108393,SRR7108394,SRR7108395,SRR7108388 CPM,SRR7108389 CPM,SRR7108390 CPM,SRR7108391 CPM,SRR7108392 CPM,SRR7108393 CPM,SRR7108394 CPM,SRR7108395 CPM
ENSG00000184012,TMPRSS2,0,1.27114259951511,7.78557926309051e-11,7.23635641779509,7.49810718924568e-13,1029.002462,1072.09949,966.222623,855.054068,2173.130189,2532.13493,2122.042101,2215.011296,97.635,97.178,89.897,87.556,198.567,221.107,169.574,215.462
ENSG00000122863,CHST3,0,2.54104651639213,8.40018386581707e-11,1.47663720412546,8.12200869655324e-13,9,9,9,7,46,43,41,61,0.854,0.816,0.837,0.717,4.203,3.755,3.276,5.934
ENSG00000175548,ALG10B,0,-1.05761017647054,8.40018386581707e-11,4.27109828503973,8.13335772517071e-13,287.788306,314.782302,289.225541,254.156821,166.81337,130.639577,132.083657,100.022298,27.306,28.533,26.909,26.025,15.242,11.408,10.555,9.730
ENSG00000155850,SLC26A2,0,1.39409183514936,8.76187181103258e-11,4.29689830878398,8.49862538294731e-13,123.232156,130.439598,128.124439,97,375.876288,346.638824,224.097069,247.630934,11.693,11.823,11.921,9.933,34.345,30.269,17.908,24.088
ENSG00000114739,ACVR2B,0,1.09483471810813,9.07968933851664e-11,5.34658151230359,8.83812434966622e-13,325.609551,304.209095,265.124654,253.025425,621,689,495,533,30.895,27.574,24.667,25.909,56.743,60.164,39.556,51.847
ENSG00000130675,MNX1,0,-1.43529209262791,9.96526224982421e-11,3.10658691058221,9.73441270899642e-13,135,147,141,122,53,61,49,31,12.809,13.325,13.119,12.493,4.843,5.327,3.916,3.015
ENSG00000108381,ASPA,0,-1.36660785222225,1.05085751081954e-10,3.71279356054883,1.02832119224778e-12,220.940754,208.466076,192.443342,202.055805,89.895137,48.527135,117.936612,57.278605,20.963,18.896,17.905,20.690,8.214,4.237,9.424,5.572
ENSG00000105388,CEACAM5,0,1.26945690696235,1.26209545605603e-10,10.8694980291211,1.24588163065362e-12,12474.536922,12778.425118,12100.720631,11310.015139,21279.085049,16283.444253,40940.62238,36187.254312,1183.619,1158.274,1125.846,1158.119,1944.352,1421.878,3271.598,3520.066
ENSG00000100906,NFKBIA,0,1.05224545967239,1.35070324715801e-10,5.57693522596475,1.33799692221957e-12,363.999999,348,360,302,485,572,993,737.000001,34.537,31.544,33.494,30.924,44.316,49.947,79.351,71.691
ENSG00000140465,CYP1A1,0,2.74723281347306,1.3896997754896e-10,3.11484756039026,1.38140655619892e-12,19,29,27,22,60.999999,85.000001,311.000001,196,1.803,2.629,2.512,2.253,5.574,7.422,24.852,19.066
ENSG00000135919,SERPINE2,0,1.31735191823724,1.59353549583276e-10,7.08193878171789,1.60320956379893e-12,917.008447,977.081874,749.024771,798.025902,2209.082265,2100.058773,1829.094471,2043.585768,87.008,88.566,69.689,81.716,201.852,183.378,146.164,198.787
ENSG00000124942,AHNAK,0,1.25873646048138,1.94991662297474e-10,8.77673810655376,1.97924452012135e-12,3108.000001,2874,2592,2864,6275,8240,5452.000001,6153,294.896,260.508,241.159,293.267,573.371,719.521,435.674,598.525
ENSG00000214274,ANG,0,2.22225440022571,1.94991662297474e-10,2.92499028543053,1.98187477286545e-12,34.420311,23.673849,32.120345,26.62595,130.48253,202.528243,82.430156,102.85236,3.266,2.146,2.988,2.726,11.923,17.685,6.587,10.005
ENSG00000152484,USP12,0,1.15190082182261,2.05652310093433e-10,7.06271957928269,2.100838774064e-12,947,946,937,847.473722,1883.000001,2064,1946.723507,1945,89.854,85.748,87.178,86.779,172.057,180.229,155.564,189.197
ENSG00000106462,EZH2,0,-1.58532901720189,2.32888496877131e-10,4.47885637841191,2.39909556175557e-12,346,383.000001,393,347,86.44592,64,231.447479,107,32.829,34.716,36.565,35.532,7.899,5.589,18.495,10.408
ENSG00000180787,ZFP3,0,-1.32867412928502,2.34176265727921e-10,4.09619961843453,2.4204161126538e-12,279,278,247.611571,266,89,60,175,97,26.472,25.199,23.038,27.238,8.132,5.239,13.984,9.436
